camera,datetime,gender,age,Visits
Cam porte1,02/06/2025 16:00:00,Male,30-39,4
Cam porte1,02/06/2025 17:00:00,Female,0-9,1
Cam porte1,02/06/2025 17:00:00,Female,18-29,1
Cam porte1,02/06/2025 17:00:00,Female,30-39,3
Cam porte1,02/06/2025 17:00:00,Male,0-9,1
Cam porte1,02/06/2025 17:00:00,Male,10-17,1
Cam porte1,02/06/2025 17:00:00,Male,18-29,1
Cam porte1,02/06/2025 17:00:00,Male,30-39,1
Cam porte1,02/06/2025 18:00:00,Female,0-9,1
Cam porte1,02/06/2025 18:00:00,Female,18-29,2
Cam porte1,02/06/2025 18:00:00,Female,30-39,2
Cam porte1,02/06/2025 18:00:00,Male,0-9,3
Cam porte1,02/06/2025 18:00:00,Male,10-17,1
Cam porte1,02/06/2025 18:00:00,Male,18-29,3
Cam porte1,02/06/2025 18:00:00,Male,30-39,4
Cam porte1,02/06/2025 19:00:00,Female,18-29,2
Cam porte1,02/06/2025 19:00:00,Female,30-39,4
Cam porte1,02/06/2025 19:00:00,Male,0-9,1
Cam porte1,02/06/2025 19:00:00,Male,18-29,3
Cam porte1,02/06/2025 19:00:00,Male,30-39,3
Cam porte1,02/06/2025 20:00:00,Female,18-29,2
Cam porte1,02/06/2025 20:00:00,Male,18-29,6
Cam porte1,02/06/2025 20:00:00,Male,60-100,1
Cam porte1,02/06/2025 21:00:00,Female,0-9,1
Cam porte1,02/06/2025 21:00:00,Female,10-17,1
Cam porte1,02/06/2025 21:00:00,Male,18-29,5
Cam_porte2,02/06/2025 08:00:00,Female,0-9,1
Cam_porte2,02/06/2025 08:00:00,Female,18-29,8
Cam_porte2,02/06/2025 08:00:00,Female,30-39,5
Cam_porte2,02/06/2025 08:00:00,Male,0-9,1
Cam_porte2,02/06/2025 08:00:00,Male,10-17,1
Cam_porte2,02/06/2025 08:00:00,Male,18-29,11
Cam_porte2,02/06/2025 08:00:00,Male,30-39,2
Cam_porte2,02/06/2025 09:00:00,Female,0-9,7
Cam_porte2,02/06/2025 09:00:00,Female,10-17,2
Cam_porte2,02/06/2025 09:00:00,Female,18-29,17
Cam_porte2,02/06/2025 09:00:00,Female,30-39,13
Cam_porte2,02/06/2025 09:00:00,Male,0-9,6
Cam_porte2,02/06/2025 09:00:00,Male,18-29,8
Cam_porte2,02/06/2025 09:00:00,Male,30-39,4
Cam_porte2,02/06/2025 09:00:00,Male,60-100,1
Cam_porte2,02/06/2025 10:00:00,Female,0-9,1
Cam_porte2,02/06/2025 10:00:00,Female,18-29,12
Cam_porte2,02/06/2025 10:00:00,Female,30-39,9
Cam_porte2,02/06/2025 10:00:00,Female,60-100,1
Cam_porte2,02/06/2025 10:00:00,Male,0-9,5
Cam_porte2,02/06/2025 10:00:00,Male,10-17,2
Cam_porte2,02/06/2025 10:00:00,Male,18-29,9
Cam_porte2,02/06/2025 10:00:00,Male,30-39,7
Cam_porte2,02/06/2025 11:00:00,Female,0-9,5
Cam_porte2,02/06/2025 11:00:00,Female,10-17,2
Cam_porte2,02/06/2025 11:00:00,Female,18-29,7
Cam_porte2,02/06/2025 11:00:00,Female,30-39,4
Cam_porte2,02/06/2025 11:00:00,Male,0-9,9
Cam_porte2,02/06/2025 11:00:00,Male,10-17,1
Cam_porte2,02/06/2025 11:00:00,Male,18-29,15
Cam_porte2,02/06/2025 11:00:00,Male,30-39,3
Cam_porte2,02/06/2025 12:00:00,Female,0-9,9
Cam_porte2,02/06/2025 12:00:00,Female,10-17,3
Cam_porte2,02/06/2025 12:00:00,Female,18-29,11
Cam_porte2,02/06/2025 12:00:00,Female,30-39,8
Cam_porte2,02/06/2025 12:00:00,Male,0-9,5
Cam_porte2,02/06/2025 12:00:00,Male,10-17,1
Cam_porte2,02/06/2025 12:00:00,Male,18-29,15
Cam_porte2,02/06/2025 12:00:00,Male,30-39,7
Cam_porte2,02/06/2025 12:00:00,Male,40-49,1
Cam_porte2,02/06/2025 13:00:00,Female,10-17,1
Cam_porte2,02/06/2025 13:00:00,Female,18-29,4
Cam_porte2,02/06/2025 13:00:00,Female,30-39,2
Cam_porte2,02/06/2025 13:00:00,Male,0-9,2
Cam_porte2,02/06/2025 13:00:00,Male,18-29,2
Cam_porte2,02/06/2025 13:00:00,Male,30-39,1
Cam_porte2,02/06/2025 14:00:00,Female,0-9,7
Cam_porte2,02/06/2025 14:00:00,Female,18-29,6
Cam_porte2,02/06/2025 14:00:00,Female,30-39,5
Cam_porte2,02/06/2025 14:00:00,Male,0-9,7
Cam_porte2,02/06/2025 14:00:00,Male,18-29,17
Cam_porte2,02/06/2025 14:00:00,Male,30-39,12
Cam_porte2,02/06/2025 14:00:00,Male,40-49,1
Cam_porte2,02/06/2025 15:00:00,Female,0-9,3
Cam_porte2,02/06/2025 15:00:00,Female,10-17,1
Cam_porte2,02/06/2025 15:00:00,Female,18-29,6
Cam_porte2,02/06/2025 15:00:00,Female,30-39,5
Cam_porte2,02/06/2025 15:00:00,Male,18-29,5
Cam_porte2,02/06/2025 15:00:00,Male,30-39,5
Cam_porte2,02/06/2025 16:00:00,Female,0-9,2
Cam_porte2,02/06/2025 16:00:00,Female,10-17,1
Cam_porte2,02/06/2025 16:00:00,Female,18-29,8
Cam_porte2,02/06/2025 16:00:00,Female,30-39,3
Cam_porte2,02/06/2025 16:00:00,Male,0-9,7
Cam_porte2,02/06/2025 16:00:00,Male,18-29,8
Cam_porte2,02/06/2025 16:00:00,Male,30-39,8
Cam_porte2,02/06/2025 16:00:00,Male,40-49,1
Cam_porte2,02/06/2025 17:00:00,Female,0-9,6
Cam_porte2,02/06/2025 17:00:00,Female,10-17,3
Cam_porte2,02/06/2025 17:00:00,Female,18-29,12
Cam_porte2,02/06/2025 17:00:00,Female,30-39,13
Cam_porte2,02/06/2025 17:00:00,Female,40-49,1
Cam_porte2,02/06/2025 17:00:00,Male,0-9,6
Cam_porte2,02/06/2025 17:00:00,Male,18-29,17
Cam_porte2,02/06/2025 17:00:00,Male,30-39,18
Cam_porte2,02/06/2025 18:00:00,Female,0-9,9
Cam_porte2,02/06/2025 18:00:00,Female,10-17,2
Cam_porte2,02/06/2025 18:00:00,Female,18-29,19
Cam_porte2,02/06/2025 18:00:00,Female,30-39,9
Cam_porte2,02/06/2025 18:00:00,Male,0-9,4
Cam_porte2,02/06/2025 18:00:00,Male,10-17,2
Cam_porte2,02/06/2025 18:00:00,Male,18-29,21
Cam_porte2,02/06/2025 18:00:00,Male,30-39,13
Cam_porte2,02/06/2025 19:00:00,Female,0-9,3
Cam_porte2,02/06/2025 19:00:00,Female,10-17,1
Cam_porte2,02/06/2025 19:00:00,Female,18-29,18
Cam_porte2,02/06/2025 19:00:00,Female,30-39,9
Cam_porte2,02/06/2025 19:00:00,Male,0-9,1
Cam_porte2,02/06/2025 19:00:00,Male,10-17,2
Cam_porte2,02/06/2025 19:00:00,Male,18-29,19
Cam_porte2,02/06/2025 19:00:00,Male,30-39,14
Cam_porte2,02/06/2025 20:00:00,Female,0-9,3
Cam_porte2,02/06/2025 20:00:00,Female,18-29,10
Cam_porte2,02/06/2025 20:00:00,Female,30-39,4
Cam_porte2,02/06/2025 20:00:00,Male,0-9,4
Cam_porte2,02/06/2025 20:00:00,Male,18-29,13
Cam_porte2,02/06/2025 20:00:00,Male,30-39,16
Cam_porte2,02/06/2025 21:00:00,Female,18-29,1
Cam_porte2,02/06/2025 21:00:00,Female,30-39,1
Cam_porte2,02/06/2025 21:00:00,Male,10-17,1
Cam_porte2,02/06/2025 21:00:00,Male,18-29,3
Cam_porte2,02/06/2025 21:00:00,Male,30-39,7
Cam porte1,03/06/2025 08:00:00,Female,0-9,8
Cam porte1,03/06/2025 08:00:00,Female,10-17,5
Cam porte1,03/06/2025 08:00:00,Female,18-29,22
Cam porte1,03/06/2025 08:00:00,Female,30-39,9
Cam porte1,03/06/2025 08:00:00,Female,40-49,2
Cam porte1,03/06/2025 08:00:00,Male,0-9,2
Cam porte1,03/06/2025 08:00:00,Male,18-29,8
Cam porte1,03/06/2025 08:00:00,Male,30-39,6
Cam porte1,03/06/2025 09:00:00,Female,0-9,6
Cam porte1,03/06/2025 09:00:00,Female,10-17,7
Cam porte1,03/06/2025 09:00:00,Female,18-29,29
Cam porte1,03/06/2025 09:00:00,Female,30-39,21
Cam porte1,03/06/2025 09:00:00,Female,40-49,2
Cam porte1,03/06/2025 09:00:00,Male,0-9,5
Cam porte1,03/06/2025 09:00:00,Male,10-17,4
Cam porte1,03/06/2025 09:00:00,Male,18-29,21
Cam porte1,03/06/2025 09:00:00,Male,30-39,6
Cam porte1,03/06/2025 09:00:00,Male,60-100,1
Cam porte1,03/06/2025 10:00:00,Female,0-9,7
Cam porte1,03/06/2025 10:00:00,Female,10-17,6
Cam porte1,03/06/2025 10:00:00,Female,18-29,31
Cam porte1,03/06/2025 10:00:00,Female,30-39,27
Cam porte1,03/06/2025 10:00:00,Female,40-49,2
Cam porte1,03/06/2025 10:00:00,Female,60-100,1
Cam porte1,03/06/2025 10:00:00,Male,0-9,5
Cam porte1,03/06/2025 10:00:00,Male,10-17,1
Cam porte1,03/06/2025 10:00:00,Male,18-29,26
Cam porte1,03/06/2025 10:00:00,Male,30-39,13
Cam porte1,03/06/2025 10:00:00,Male,60-100,1
Cam porte1,03/06/2025 11:00:00,Female,0-9,12
Cam porte1,03/06/2025 11:00:00,Female,10-17,6
Cam porte1,03/06/2025 11:00:00,Female,18-29,24
Cam porte1,03/06/2025 11:00:00,Female,30-39,27
Cam porte1,03/06/2025 11:00:00,Male,0-9,6
Cam porte1,03/06/2025 11:00:00,Male,10-17,2
Cam porte1,03/06/2025 11:00:00,Male,18-29,23
Cam porte1,03/06/2025 11:00:00,Male,30-39,10
Cam porte1,03/06/2025 11:00:00,Male,60-100,1
Cam porte1,03/06/2025 12:00:00,Female,0-9,2
Cam porte1,03/06/2025 12:00:00,Female,10-17,2
Cam porte1,03/06/2025 12:00:00,Female,18-29,11
Cam porte1,03/06/2025 12:00:00,Female,30-39,5
Cam porte1,03/06/2025 12:00:00,Male,0-9,4
Cam porte1,03/06/2025 12:00:00,Male,18-29,5
Cam porte1,03/06/2025 12:00:00,Male,30-39,4
Cam porte1,03/06/2025 13:00:00,Female,0-9,1
Cam porte1,03/06/2025 13:00:00,Female,18-29,1
Cam porte1,03/06/2025 13:00:00,Male,0-9,2
Cam porte1,03/06/2025 13:00:00,Male,18-29,1
Cam porte1,03/06/2025 14:00:00,Female,10-17,1
Cam porte1,03/06/2025 14:00:00,Female,18-29,2
Cam porte1,03/06/2025 14:00:00,Male,18-29,1
Cam porte1,03/06/2025 15:00:00,Female,18-29,1
Cam porte1,03/06/2025 15:00:00,Female,30-39,1
Cam porte1,03/06/2025 15:00:00,Male,0-9,1
Cam porte1,03/06/2025 15:00:00,Male,18-29,1
Cam porte1,03/06/2025 16:00:00,Female,18-29,4
Cam porte1,03/06/2025 16:00:00,Female,30-39,3
Cam porte1,03/06/2025 16:00:00,Male,18-29,1
Cam porte1,03/06/2025 17:00:00,Female,10-17,1
Cam porte1,03/06/2025 17:00:00,Female,18-29,6
Cam porte1,03/06/2025 17:00:00,Female,30-39,3
Cam porte1,03/06/2025 17:00:00,Female,40-49,1
Cam porte1,03/06/2025 17:00:00,Male,18-29,4
Cam porte1,03/06/2025 18:00:00,Female,0-9,2
Cam porte1,03/06/2025 18:00:00,Female,18-29,5
Cam porte1,03/06/2025 18:00:00,Female,30-39,4
Cam porte1,03/06/2025 18:00:00,Male,18-29,1
Cam porte1,03/06/2025 18:00:00,Male,30-39,3
Cam porte1,03/06/2025 19:00:00,Female,10-17,5
Cam porte1,03/06/2025 19:00:00,Female,18-29,3
Cam porte1,03/06/2025 19:00:00,Female,30-39,4
Cam porte1,03/06/2025 19:00:00,Male,0-9,1
Cam porte1,03/06/2025 19:00:00,Male,18-29,1
Cam porte1,03/06/2025 19:00:00,Male,30-39,2
Cam porte1,03/06/2025 20:00:00,Female,18-29,1
Cam porte1,03/06/2025 20:00:00,Female,30-39,2
Cam porte1,03/06/2025 20:00:00,Male,10-17,2
Cam porte1,03/06/2025 20:00:00,Male,18-29,4
Cam porte1,03/06/2025 20:00:00,Male,30-39,1
Cam porte1,03/06/2025 21:00:00,Female,18-29,5
Cam_porte2,03/06/2025 08:00:00,Female,0-9,7
Cam_porte2,03/06/2025 08:00:00,Female,18-29,5
Cam_porte2,03/06/2025 08:00:00,Female,30-39,7
Cam_porte2,03/06/2025 08:00:00,Male,0-9,3
Cam_porte2,03/06/2025 08:00:00,Male,10-17,2
Cam_porte2,03/06/2025 08:00:00,Male,18-29,8
Cam_porte2,03/06/2025 08:00:00,Male,30-39,10
Cam_porte2,03/06/2025 09:00:00,Female,0-9,3
Cam_porte2,03/06/2025 09:00:00,Female,10-17,1
Cam_porte2,03/06/2025 09:00:00,Female,18-29,12
Cam_porte2,03/06/2025 09:00:00,Female,30-39,3
Cam_porte2,03/06/2025 09:00:00,Male,0-9,4
Cam_porte2,03/06/2025 09:00:00,Male,10-17,1
Cam_porte2,03/06/2025 09:00:00,Male,18-29,9
Cam_porte2,03/06/2025 09:00:00,Male,30-39,9
Cam_porte2,03/06/2025 09:00:00,Male,60-100,1
Cam_porte2,03/06/2025 10:00:00,Female,0-9,4
Cam_porte2,03/06/2025 10:00:00,Female,10-17,2
Cam_porte2,03/06/2025 10:00:00,Female,18-29,11
Cam_porte2,03/06/2025 10:00:00,Female,30-39,7
Cam_porte2,03/06/2025 10:00:00,Male,0-9,14
Cam_porte2,03/06/2025 10:00:00,Male,10-17,1
Cam_porte2,03/06/2025 10:00:00,Male,18-29,15
Cam_porte2,03/06/2025 10:00:00,Male,30-39,7
Cam_porte2,03/06/2025 11:00:00,Female,0-9,10
Cam_porte2,03/06/2025 11:00:00,Female,10-17,5
Cam_porte2,03/06/2025 11:00:00,Female,18-29,5
Cam_porte2,03/06/2025 11:00:00,Female,30-39,5
Cam_porte2,03/06/2025 11:00:00,Male,0-9,5
Cam_porte2,03/06/2025 11:00:00,Male,10-17,3
Cam_porte2,03/06/2025 11:00:00,Male,18-29,12
Cam_porte2,03/06/2025 11:00:00,Male,30-39,12
